Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,20.813,8.7817,1.1133,,,,,,,,,,
,20.913,8.8251,1.114,,,,,,,,,,
,21.013,8.867,1.1138,,,,,,,,,,
,21.113,8.9099,1.1137,,,,,,,,,,
,21.213,8.9516,1.1133,,,,,,,,,,
,21.313,8.9938,1.1132,,,,,,,,,,
,21.413,9.0364,1.1131,,,,,,,,,,
,21.513,9.0783,1.113,,,,,,,,,,
,21.613,9.1215,1.1132,,,,,,,,,,
,21.713,9.1631,1.1125,,,,,,,,,,
,21.813,9.2062,1.1126,,,,,,,,,,
,21.913,9.2479,1.112,,,,,,,,,,
,22.013,9.2905,1.1126,,,,,,,,,,
,22.113,9.3325,1.1121,,,,,,,,,,
,22.213,9.3746,1.1118,,,,,,,,,,
,22.313,9.4174,1.1115,,,,,,,,,,
,22.413,9.4594,1.1109,,,,,,,,,,
,22.513,9.5024,1.1113,,,,,,,,,,
,22.613,9.5441,1.111,,,,,,,,,,
,22.713,9.5871,1.1113,,,,,,,,,,
,22.813,9.6292,1.1108,,,,,,,,,,
,22.913,9.6715,1.1101,,,,,,,,,,
,23.013,9.7137,1.1098,,,,,,,,,,
,23.113,9.7557,1.1097,,,,,,,,,,
,23.213,9.7985,1.1098,,,,,,,,,,
,23.313,9.8405,1.1093,,,,,,,,,,
,23.413,9.8834,1.1089,,,,,,,,,,
,23.513,9.9254,1.1087,,,,,,,,,,
,23.613,9.9676,1.1089,,,,,,,,,,
,23.713,10.0102,1.1086,,,,,,,,,,
,23.813,10.0519,1.1081,,,,,,,,,,
,23.913,10.0949,1.1077,,,,,,,,,,
,24.013,10.1362,1.1069,,,,,,,,,,
,24.113,10.1798,1.1072,,,,,,,,,,
,24.213,10.2215,1.1069,,,,,,,,,,
,24.313,10.2649,1.1071,,,,,,,,,,
,24.413,10.3063,1.106,,,,,,,,,,
,24.513,10.3488,1.1058,,,,,,,,,,
,24.613,10.391,1.1054,,,,,,,,,,
,24.713,10.4328,1.1051,,,,,,,,,,
,24.813,10.476,1.1054,,,,,,,,,,
,24.913,10.5177,1.1044,,,,,,,,,,
,25.013,10.5609,1.1045,,,,,,,,,,
,25.113,10.6027,1.1036,,,,,,,,,,
