Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,14.396,6.0677,2.593,,,5.554,11.6455,2.0871,,,3.541,29.5542,2.2166
,14.496,6.1106,2.5934,,,5.654,11.8578,2.0888,,,3.641,30.4011,2.2175
,14.596,6.1525,2.5926,,,5.754,12.0693,2.0897,,,3.741,31.2476,2.2175
,14.696,6.1957,2.5928,,,5.854,12.2808,2.0904,,,3.841,32.0942,2.218
,14.796,6.2374,2.5914,,,5.954,12.4927,2.0913,,,3.941,32.9411,2.2181
,14.896,6.2798,2.5903,,,6.054,12.7042,2.0922,,,4.041,33.7876,2.2179
,14.996,6.3222,2.5896,,,6.154,12.9158,2.0928,,,4.141,34.6343,2.2179
,15.096,6.3645,2.5884,,,6.254,13.1276,2.0936,,,4.241,35.4809,2.2183
,15.196,6.4072,2.5872,,,6.354,13.3392,2.0938,,,4.341,36.3277,2.2181
,15.296,6.4487,2.5852,,,6.454,13.5511,2.0948,,,4.441,37.1744,2.2183
,15.396,6.4919,2.5836,,,6.554,13.7627,2.0949,,,4.541,38.0208,2.2185
,15.496,6.5335,2.5817,,,6.654,13.9738,2.0944,,,4.641,38.8679,2.219
,15.596,6.5768,2.5801,,,6.754,14.1863,2.0951,,,4.741,39.7143,2.2193
,15.696,6.6183,2.5776,,,6.854,14.3977,2.0953,,,4.841,40.5608,2.2199
,15.796,6.661,2.5759,,,6.954,14.6088,2.095,,,4.941,41.4076,2.2202
,15.896,6.7032,2.5732,,,7.054,14.821,2.0955,,,5.041,42.2545,2.2208
,15.996,6.7453,2.5708,,,7.154,15.0331,2.0953,,,5.141,43.101,2.2208
,16.096,6.7879,2.568,,,7.254,15.244,2.0955,,,5.241,43.9478,2.221
,16.196,6.8299,2.5653,,,7.354,15.4558,2.0957,,,5.341,44.7942,2.2213
,16.296,6.8727,2.5626,,,7.454,15.6676,2.0956,,,5.441,45.6409,2.222
,16.396,6.9148,2.5596,,,7.554,15.8794,2.0966,,,5.541,46.4878,2.2222
,16.496,6.9576,2.5568,,,7.654,16.0911,2.097,,,5.641,47.3342,2.2221
,16.596,6.9998,2.5532,,,7.754,16.3024,2.0973,,,5.741,48.1809,2.2223
,16.696,7.0417,2.5497,,,7.854,16.514,2.0981,,,5.841,49.0275,2.2225
,16.796,7.0842,2.5465,,,7.954,16.7263,2.0991,,,5.941,49.8744,2.2225
,16.896,7.126,2.5423,,,8.054,16.9373,2.0997,,,6.041,50.721,2.2228
,16.996,7.169,2.5392,,,8.154,17.149,2.1009,,,6.141,51.5675,2.2226
,17.096,7.2108,2.5346,,,8.254,17.3612,2.1016,,,6.241,52.4144,2.2223
,17.196,7.254,2.5316,,,8.354,17.5724,2.1023,,,6.341,53.261,2.2225
,17.296,7.2959,2.5272,,,8.454,17.7844,2.1034,,,6.441,54.1077,2.2226
,17.396,7.3383,2.5229,,,8.554,17.9959,2.1041,,,6.541,54.9544,2.2221
,17.496,7.3806,2.5188,,,8.654,18.2075,2.1048,,,6.641,55.8007,2.2213
,17.596,7.4222,2.5135,,,8.754,18.4193,2.1057,,,6.741,56.6477,2.2209
,17.696,7.4652,2.5098,,,8.854,18.631,2.1065,,,6.841,57.4945,2.22
,17.796,7.5072,2.5049,,,8.954,18.8425,2.1074,,,6.941,58.3408,2.2193
,17.896,7.5506,2.5006,,,9.054,19.0548,2.1087,,,7.041,59.1876,2.2184
,17.996,7.5923,2.4955,,,9.154,19.2655,2.1088,,,7.141,60.0343,2.2171
,18.096,7.6348,2.4901,,,9.254,19.4773,2.1097,,,7.241,60.8811,2.2148
,18.196,7.6768,2.485,,,9.354,19.6898,2.1109,,,7.341,61.7277,2.2129
,18.296,7.719,2.4791,,,9.454,19.9008,2.1109,,,7.441,62.5742,2.2097
,18.396,7.7616,2.4737,,,9.554,20.112,2.1115,,,7.541,63.421,2.2052
,18.496,7.8033,2.4671,,,9.654,20.3246,2.1132,,,7.641,64.2676,2.198
,18.596,7.8465,2.4608,,,9.754,20.536,2.1141,,,7.741,65.1143,2.1863
,18.696,7.8884,2.4537,,,9.854,20.7475,2.1149,,,7.841,65.961,2.1791
,18.796,7.9314,2.4457,,,9.954,20.9592,2.1154,,,7.941,66.8075,2.1824
,18.896,7.9731,2.4365,,,10.054,21.1708,2.1161,,,8.041,67.6544,2.1883
,18.996,8.0155,2.426,,,10.154,21.383,2.1172,,,8.141,68.5012,2.1955
,19.096,8.0577,2.4124,,,10.254,21.5941,2.1174,,,8.241,69.3475,2.205
,19.196,8.0999,2.395,,,10.354,21.8058,2.1183,,,8.341,70.1942,2.2159
,19.28,8.1361,2.3749,,,10.454,22.0178,2.1193,,,8.441,71.0412,2.2245
,19.342,8.1624,2.3549,,,10.554,22.2294,2.1198,,,8.541,71.8877,2.2306
,19.391,8.1828,2.3346,,,10.654,22.4407,2.1201,,,8.641,72.7344,2.2356
,19.432,8.2,2.3144,,,10.754,22.6528,2.1205,,,8.741,73.5808,2.2399
,19.469,8.2162,2.2938,,,10.854,22.8641,2.1213,,,8.841,74.4277,2.2413
,19.5,8.2291,2.2736,,,10.954,23.0759,2.122,,,8.941,75.2744,2.2499
,19.529,8.2411,2.2534,,,11.054,23.2877,2.1224,,,9.041,76.1209,2.2667
,19.558,8.2533,2.2327,,,11.154,23.4992,2.1232,,,9.141,76.9676,2.2864
,19.585,8.2647,2.2126,,,11.254,23.7108,2.1236,,,9.241,77.8141,2.3063
,19.614,8.2768,2.1922,,,11.354,23.9227,2.1243,,,9.341,78.661,2.3262
,19.644,8.2894,2.1718,,,11.454,24.1339,2.1247,,,9.441,79.5077,2.3457
,19.678,8.3042,2.1515,,,11.554,24.346,2.1256,,,9.541,80.3541,2.3641
,19.715,8.3203,2.1312,,,11.654,24.5581,2.1262,,,9.641,81.2009,2.3813
