Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,16.9,7.1265,0.4465,,,16.428,34.6598,0.4785,,,,,
,17,7.1685,0.4465,,,16.528,34.8715,0.4788,,,,,
,17.1,7.2115,0.4475,,,16.628,35.0831,0.4788,,,,,
,17.2,7.2532,0.4478,,,16.728,35.2945,0.4785,,,,,
,17.3,7.2962,0.4484,,,16.828,35.5068,0.4786,,,,,
,17.4,7.3381,0.449,,,16.928,35.7179,0.4784,,,,,
,17.5,7.3805,0.4493,,,17.028,35.9294,0.4782,,,,,
,17.6,7.4229,0.4501,,,17.128,36.1417,0.478,,,,,
,17.7,7.4648,0.4505,,,17.228,36.3533,0.4781,,,,,
,17.8,7.5076,0.4508,,,17.328,36.5644,0.4781,,,,,
,17.9,7.5495,0.4516,,,17.428,36.7766,0.4777,,,,,
,18,7.5925,0.4522,,,17.528,36.9881,0.4779,,,,,
,18.1,7.6343,0.4526,,,17.628,37.1997,0.4776,,,,,
,18.2,7.6769,0.453,,,17.728,37.4117,0.4776,,,,,
,18.3,7.7192,0.4533,,,17.828,37.6229,0.4775,,,,,
,18.4,7.7612,0.4542,,,17.928,37.8347,0.4775,,,,,
,18.5,7.8038,0.4542,,,18.028,38.0466,0.4772,,,,,
,18.6,7.8455,0.4547,,,18.128,38.2576,0.477,,,,,
,18.7,7.8887,0.4554,,,18.228,38.4696,0.477,,,,,
,18.8,7.9307,0.4554,,,18.328,38.6819,0.4769,,,,,
,18.9,7.9738,0.4562,,,18.428,38.893,0.4766,,,,,
,19,8.0157,0.4563,,,18.528,39.1047,0.4765,,,,,
,19.1,8.0579,0.4568,,,18.628,39.3165,0.4766,,,,,
,19.2,8.1,0.4574,,,18.728,39.528,0.4765,,,,,
,19.3,8.142,0.4572,,,18.828,39.7398,0.4764,,,,,
,19.4,8.185,0.4583,,,18.928,39.9514,0.476,,,,,
,19.5,8.2267,0.4581,,,19.028,40.1632,0.4761,,,,,
,19.6,8.2699,0.4586,,,19.128,40.3751,0.4759,,,,,
,19.7,8.3118,0.4591,,,19.228,40.5859,0.4758,,,,,
