Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,9.5,0.3965,0.5083,,,4.131,1.7235,1.9568,,,9.5,0.3974,0.0636,,,7.157,3.0043,1.5282
,9.6,0.4008,0.5135,,,4.186,1.7462,1.9768,,,9.6,0.4013,0.0666,,,7.257,3.0469,1.5385
,9.7,0.405,0.518,,,4.237,1.7684,1.997,,,9.7,0.4056,0.07,,,7.357,3.0888,1.5478
,9.8,0.4094,0.5229,,,4.291,1.7914,2.0172,,,9.8,0.4099,0.073,,,7.457,3.1308,1.5563
,9.9,0.4138,0.5279,,,4.346,1.8144,2.0373,,,9.9,0.4141,0.077,,,7.557,3.1734,1.566
,10,0.418,0.5325,,,4.401,1.8374,2.0575,,,10,0.4183,0.0806,,,7.657,3.2153,1.5733
,10.1,0.4221,0.5371,,,4.455,1.8605,2.0776,,,10.1,0.4229,0.0844,,,7.757,3.2584,1.5818
,10.2,0.4266,0.5422,,,4.508,1.8837,2.0978,,,10.2,0.4268,0.0873,,,7.857,3.3002,1.5896
,10.3,0.4306,0.5467,,,4.566,1.9079,2.1181,,,10.3,0.4314,0.0909,,,7.957,3.3432,1.5972
,10.4,0.435,0.5514,,,4.623,1.9316,2.1381,,,10.4,0.4354,0.0946,,,8.057,3.3851,1.6038
,10.5,0.4388,0.5555,,,4.678,1.9549,2.1581,,,10.5,0.4398,0.0992,,,8.157,3.4274,1.6108
,10.6,0.4433,0.5605,,,4.733,1.9789,2.1784,,,10.6,0.444,0.1018,,,8.257,3.4697,1.6169
,10.7,0.4473,0.565,,,4.793,2.0036,2.1985,,,10.7,0.4482,0.1052,,,8.357,3.5117,1.6231
,10.8,0.4517,0.5698,,,4.852,2.0283,2.2188,,,10.8,0.4522,0.1081,,,8.457,3.5547,1.6295
,10.9,0.4556,0.5736,,,4.909,2.0527,2.239,,,10.9,0.4566,0.1123,,,8.557,3.5964,1.6348
,11,0.4606,0.5794,,,4.966,2.0773,2.2592,,,11,0.4607,0.1151,,,8.657,3.6396,1.6408
,11.1,0.4643,0.5831,,,5.027,2.1026,2.2794,,,11.1,0.4649,0.1176,,,8.757,3.6814,1.6451
,11.2,0.4689,0.5883,,,5.088,2.1283,2.2997,,,11.2,0.4693,0.1212,,,8.857,3.7241,1.6506
,11.3,0.4725,0.5919,,,5.146,2.1531,2.3198,,,11.3,0.4735,0.1246,,,8.957,3.7661,1.6536
,11.4,0.4775,0.5974,,,5.206,2.1789,2.34,,,11.4,0.4779,0.1277,,,9.057,3.8083,1.6578
,11.5,0.481,0.6012,,,5.268,2.2047,2.3601,,,11.5,0.4818,0.1312,,,9.157,3.8509,1.6617
